"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3401","creates, retrieves, updates, and deletes a Case","API","2026-07-13","passed","2026-07-13","API: Case CRUD","api/crud/case.spec.ts","",""
"","15024","should create a new Contact linked to an Account","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/create-contact.spec.ts","",""
"","5524","should search and filter within Accounts list view","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/list-view-search.spec.ts","",""
"","5264","should show no results state for a nonsense query","UI (E2E)","2026-07-13","passed","2026-07-13","Global Search","search/global-search-empty.spec.ts","",""
"","3385","links a Contact to an Account and resolves the parent both ways","API","2026-07-13","passed","2026-07-13","API: Contact/Account relationship","api/relationships/contact-account.spec.ts","",""
"","820","describes the Account sobject schema","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","17143","should create a new Opportunity linked to an Account","UI (E2E)","2026-07-13","passed","2026-07-13","Opportunities","opportunities/create-opportunity.spec.ts","",""
"","4997","should post an update to Chatter feed","UI (E2E)","2026-07-13","passed","2026-07-13","Chatter","chatter/chatter.spec.ts","",""
"","7421","authenticate","setup","2026-07-13","passed","2026-07-13","","auth.setup.ts","",""
"","1215","exchanges a signed JWT for a usable session","API","2026-07-13","passed","2026-07-13","API: JWT bearer token exchange","api/auth/token-exchange.spec.ts","",""
"","6778","should view Key Deals on Home page","UI (E2E)","2026-07-13","passed","2026-07-13","Opportunities","opportunities/home-key-deals.spec.ts","",""
"","279","returns 400 MALFORMED_QUERY for invalid SOQL","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","184","testGetOpenCaseCountForAccount_noCases","","","passed","","","Apex","Apex.CaseServiceTest",""
"","5680","should display and dismiss an Assistant recommendation","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/assistant-dismiss.spec.ts","",""
"","267","returns 401 for a request with no bearer token","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","570","rejects a create that omits a required field (400 REQUIRED_FIELD_MISSING)","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","838","should navigate to forgot password flow","UI (E2E)","2026-07-13","passed","2026-07-13","Authentication","auth/forgot-password.spec.ts","",""
"","2123","should log in with valid credentials and land on Home","UI (E2E)","2026-07-13","skipped","2026-07-13","Authentication","auth/login-valid.spec.ts","",""
"","8503","should navigate Dashboards tab and open a dashboard","UI (E2E)","2026-07-13","passed","2026-07-13","Reports and Dashboards","reports/view-dashboard.spec.ts","",""
"","448","the issued token authorizes a REST call","API","2026-07-13","passed","2026-07-13","API: JWT bearer token exchange","api/auth/token-exchange.spec.ts","",""
"","8105","should create a Task from an Assistant recommendation","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/assistant-new-task.spec.ts","",""
"","9335","should edit an existing Account","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/edit-account.spec.ts","",""
"","245","testIsOverdue_openFutureCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","259","testIsOverdue_closedPastCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","216","testGetContactCountForAccount_noContacts","","","passed","","","Apex","Apex.ContactServiceTest",""
"","4877","should comment on a Chatter post","UI (E2E)","2026-07-13","passed","2026-07-13","Chatter","chatter/chatter.spec.ts","",""
"","243","testIsOverdue_openPastCloseDate","","","passed","","","Apex","Apex.OpportunityServiceTest",""
"","271","testGetTotalOpenOpportunityAmount_withOpenOpportunities","","","passed","","","Apex","Apex.AccountServiceTest",""
"","498","reports org API limits","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","4236","creates, retrieves, updates, and deletes an Account","API","2026-07-13","passed","2026-07-13","API: Account CRUD","api/crud/account.spec.ts","",""
"","8192","should progress an Opportunity through stages","UI (E2E)","2026-07-13","passed","2026-07-13","Opportunities","opportunities/update-stage.spec.ts","",""
"","12989","should delete an Account","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/delete-account.spec.ts","",""
"","9912","should update Case status","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/update-case-status.spec.ts","",""
"","274","rejects a malformed assertion at the token endpoint","API","2026-07-13","passed","2026-07-13","API: JWT bearer token exchange","api/auth/token-exchange.spec.ts","",""
"","315","testGetTotalOpenOpportunityAmount_noOpportunities","","","passed","","","Apex","Apex.AccountServiceTest",""
"","5731","should return results for a known Account name","UI (E2E)","2026-07-13","passed","2026-07-13","Global Search","search/global-search-account.spec.ts","",""
"","7186","should navigate Reports tab and open a report","UI (E2E)","2026-07-13","passed","2026-07-13","Reports and Dashboards","reports/view-report.spec.ts","",""
"","5529","should view Account related lists","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/view-related-lists.spec.ts","",""
"","3626","should refresh the Quarterly Performance chart on Home","UI (E2E)","2026-07-13","passed","2026-07-13","Reports and Dashboards","reports/home-refresh-chart.spec.ts","",""
"","2948","creates, retrieves, updates, and deletes a Contact","API","2026-07-13","passed","2026-07-13","API: Contact CRUD","api/crud/contact.spec.ts","",""
"","3703","should open App Launcher and list available apps","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/app-launcher-list.spec.ts","",""
"","10845","should delete a Contact","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/delete-contact.spec.ts","",""
"","904","should show an error for invalid credentials","UI (E2E)","2026-07-13","passed","2026-07-13","Authentication","auth/login-invalid.spec.ts","",""
"","275","exposes the pinned API version","API","2026-07-13","passed","2026-07-13","API: metadata & platform","api/metadata/describe-limits.spec.ts","",""
"","10263","should switch between apps via App Launcher","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/app-switch.spec.ts","",""
"","7922","should log out successfully","UI (E2E)","2026-07-13","passed","2026-07-13","Authentication","auth/logout.spec.ts","",""
"","5829","should mark a Task complete from Today's Tasks","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/complete-task.spec.ts","",""
"","4876","should search apps and items from App Launcher","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/app-launcher-search.spec.ts","",""
"","8479","should filter Cases list by status","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/filter-cases.spec.ts","",""
"","295","testGetTotalOpenOpportunityAmount_nullAmount","","","passed","","","Apex","Apex.AccountServiceTest",""
"","1375","finds a seeded record by an exact field filter","API","2026-07-13","passed","2026-07-13","API: SOQL query","api/query/soql.spec.ts","",""
"","278","rejects a create that references an unknown field (400)","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","3753","should view Today's Events and open Calendar","UI (E2E)","2026-07-13","passed","2026-07-13","Home Page Widgets","home/view-events.spec.ts","",""
"","1108","testGetContactCountForAccount_withContacts","","","passed","","","Apex","Apex.ContactServiceTest",""
"","10877","should edit an existing Contact","UI (E2E)","2026-07-13","passed","2026-07-13","Contacts","contacts/edit-contact.spec.ts","",""
"","2892","traverses a parent relationship in the SELECT clause","API","2026-07-13","passed","2026-07-13","API: SOQL query","api/query/soql.spec.ts","",""
"","12185","should create a new Account","UI (E2E)","2026-07-13","passed","2026-07-13","Accounts","accounts/create-account.spec.ts","",""
"","6335","should navigate primary tabs within the Service app","UI (E2E)","2026-07-13","passed","2026-07-13","Navigation and App Switching","navigation/service-tabs.spec.ts","",""
"","335","returns 404 NOT_FOUND for a nonexistent record id","API","2026-07-13","passed","2026-07-13","API: validation & errors","api/validation/errors.spec.ts","",""
"","3916","creates, retrieves, updates, and deletes an Opportunity","API","2026-07-13","passed","2026-07-13","API: Opportunity CRUD","api/crud/opportunity.spec.ts","",""
"","11208","should create a new Case","UI (E2E)","2026-07-13","passed","2026-07-13","Cases","cases/create-case.spec.ts","",""
"","393","testGetOpenCaseCountForAccount_mixedCases","","","passed","","","Apex","Apex.CaseServiceTest",""
